Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist,ret_5d,bb_upper,bb_lower,low_52w
2023-08-28,110.76443481445312,431048,11464.259765625,84.41999816894531,15.079999923706056,5.5,45.05879974365234,62.186894691047065,108.45415382385254,,,1,0,0,0.005145740121430764,-0.016158375144122328,1.107855167793739,0.7766211714334151,,,,stable,0.0,0.0,0.0,-0.0194976231211231,0.0033392479770008,-0.0887372025406051,-0.0168441878878996,-0.0733788736775488,-0.0441436536893415,-0.0187714438980927,-0.0762387663392186,10.99,6.37,0.04085260044742389,112.63004711977962,104.27826052792545,
2023-08-29,109.6303253173828,319153,11442.5595703125,85.48999786376953,14.449999809265137,5.5,45.12112808227539,53.69364300205184,108.27839164733886,,,1,0,0,-0.010238931828344788,-0.031068326988629158,0.8345348534982148,0.6877273093110687,,,,stable,0.0,0.0,0.0,-0.016630248614055,-0.0144380783745741,-0.1155172363398889,-0.0394975862209738,-0.056896477572653,-0.0269574504295202,-0.0137929969005109,-0.0562948580563641,10.87,6.31,0.013985904437062269,111.87918280288605,104.67760049179168,
2023-08-30,110.38639831542967,163581,11574.75,85.86000061035156,13.880000114440918,5.5,45.18344497680664,53.15864545379988,108.24346237182617,,,1,0,0,0.0068965680422641285,-0.006288748363596608,0.4382632151305177,0.8062866788906791,,,,stable,0.0,0.0,0.0,0.0084045453033365,-0.0146932936669331,-0.1027396218809796,-0.0173355938512165,-0.0633561059195499,-0.0204463306004286,-0.0239726590734699,-0.073278276500412,10.95,6.35,0.02636202943872501,111.74171432219644,104.7452104214559,
2023-08-31,109.81935119628906,163050,11491.2001953125,86.86000061035156,13.56999969482422,5.5,44.99647903442383,52.51226742997342,108.18954696655274,,,1,0,0,-0.005136929257536504,-0.009723452345685724,0.4418090352589623,0.7427924089798702,,,,stable,0.0,0.0,0.0,0.0101461103415039,-0.0198695626871896,-0.0808950551199569,0.0016324291838015,-0.02065409210155,0.0142230544650016,0.0154903606594913,-0.0535946873506665,10.89,6.32,0.010434948640245967,111.54592090876987,104.83317302433561,
2023-09-03,107.55113220214844,134737,11455.7802734375,86.86000061035156,13.56999969482422,5.5,44.99647903442383,52.44499731271346,108.08778533935546,,,0,0,0,-0.020654092101550003,-0.018571950521954594,0.37658918149842174,0.4187138876243801,,,,stable,0.0,0.0,0.0,0.0091882116147432,-0.0277601621366978,-0.0738137391783266,-0.0010417292103102,-0.0035149467168127,0.0292231147779685,0.0720562658199204,0.0025473124471562,10.67,6.19,-0.024013776991526847,111.38879901514287,104.78677166356806,
2023-09-04,110.00836181640624,420327,11430.8701171875,86.86000061035156,13.56999969482422,5.5,44.809513092041016,56.60979606292602,108.27747955322266,,,1,0,0,0.02284708272191227,0.03571908806827628,1.198560280244915,0.7635536612470051,,,,stable,0.0,0.0,0.0,0.0140995854698999,0.0216195025983763,-0.0756014141325593,-0.0144101207846649,-0.0120275891225865,0.0168372472310682,0.034364272846358,-0.0327120062570258,10.91,6.33,-0.006825954552229896,111.56121739809626,104.99374170834906,
2023-09-05,111.8985366821289,799700,11410.98046875,90.04000091552734,14.010000228881836,5.5,44.93415832519531,61.46779482229705,108.53358345031738,,,1,0,0,0.017182101746749057,0.047970105043055655,2.1804235752948222,0.9703974944103062,,,,stable,0.0,0.0,0.0,0.0148263021476564,0.0331438028953992,-0.0979729340451013,-0.0368983488816194,-0.0270269551601868,-4.148577779716778e-05,0.0185811254219998,-0.045034785924356,11.1,6.44,0.020689634534783785,112.11029598790206,104.9568709127327,
2023-09-06,109.44131469726562,307905,11298.16015625,90.5999984741211,14.449999809265137,5.5,44.809513092041016,58.525172674457565,108.58252906799316,,,1,0,0,-0.021959375499641554,0.009025361160756473,0.8422594562878134,0.6192979337285945,,,,stable,0.0,0.0,0.0,0.0010588315611583,0.007966529599598,-0.0863558450749586,-0.0293907660676949,-0.015544146922081,-0.004862789441656,0.044904972515269,-0.0274899728730322,10.85,6.3,-0.00856159483946084,112.18186060053344,104.98319753545289,
2023-09-07,108.11819458007812,238866,11215.5595703125,89.91999816894531,14.399999618530272,5.5,44.12397384643555,58.49058543628983,108.51848640441895,,,0,0,0,-0.012089768117712119,-0.011708084271650043,0.720691527878349,0.44415113904303516,,,,stable,0.0,0.0,0.0,-0.0182561584380771,0.0065480741664271,-0.1013986186698323,-0.0372556385935868,-0.0017483968265931,-0.0020568933323455,0.0332167170926411,-0.04207785005141,10.72,6.22,-0.01549049960393889,112.10219265627319,104.93478015256471,
2023-09-10,108.11819458007812,0,11154.0498046875,89.91999816894531,14.399999618530272,5.5,44.12397384643555,54.63920571578374,108.47317695617676,,,0,0,0,0.0,-0.008311800859395535,0.0,0.4504171217264995,,,,stable,0.0,0.0,0.0,-0.0339594213371644,0.0256476204777689,-0.1048952006270715,-0.0277161141002907,0.0034964408266078,0.000148791819849,0.0472026920950192,-0.0395873584988171,10.72,6.22,0.005272491012589864,112.05286402214881,104.8934898902047,
