Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi
2018-04-18,83.94406127929688,32898,8146.1298828125,73.4800033569336,15.600000381469728,3.0,2.473913043478261,17.752315521240234,46.478816381729,83.01694602966309,84.49890365600587,87.10363494873047,1,0,0,-0.005110930327122842,0.015652136026128582,0.020978906771817574,0.49531716152461563,85.62098350625466,80.41290855307152,0.6780149590718043,97.0243911743164,80.3505630493164,-0.1348148618785877,0.044722751074873036,0.25,stable,0.27608522890872456,1,0,0,0,0.04952364248614316,-0.028544735714325586,-0.11654807982650128,-0.23202053020363334,-0.2152542767692055,-0.18660692505377763,-0.21637937859017575,-0.19535322005948352,-0.16110754382111447
2018-04-19,84.80650329589844,51594,8277.1396484375,73.77999877929688,15.960000038146973,3.0,2.476086956521739,18.227436065673828,51.99993206055386,83.18224716186523,84.45578140258789,87.08470481872558,1,1,0,0.010274008708395233,0.020761319393032274,0.0405644557872642,0.8122302090319168,85.8006501216258,80.56384420210468,0.8101616059473394,97.0243911743164,80.3505630493164,-0.12592594223515416,0.055456241717274944,0.25,stable,0.27444457241577913,1,0,0,0,0.05563104810021269,-0.01506659231294849,-0.1059204098714781,-0.2347457546304984,-0.22072405447295562,-0.20267020926508117,-0.21297213860713304,-0.20353609713345688,-0.15400455488565956
2018-04-22,84.80650329589844,11477,8277.1396484375,73.77999877929688,15.960000038146973,3.0,2.482608695652174,18.249032974243164,57.35290444447913,83.40504417419433,84.43853240966797,87.05586811065673,1,1,0,0.0,0.008546977527766675,0.055456241717275034,0.1875447843447412,85.75330958935196,81.0567787590367,0.7984030494717383,97.0243911743164,80.3505630493164,-0.12592594223515416,0.055456241717274944,0.25,stable,0.27715174200979,1,0,0,0,0.05563104810021269,-0.00017480638293765338,-0.08489421309402045,-0.2398305180807283,-0.22580881792318552,-0.20699883894557614,-0.217300768287628,-0.2061331310019524,-0.17009295492871035
2018-04-23,84.5190200805664,10945,8335.349609375,74.70999908447266,16.34000015258789,3.0,2.484782608695652,18.35701560974121,61.904645559168955,83.58471870422363,84.41840881347656,87.03125495910645,1,1,0,-0.0033898722876118947,-0.0033898722876118947,0.044404906877685724,0.19925667883082115,85.66927116920328,81.50016623924398,0.7241011900729238,97.0243911743164,80.3505630493164,-0.12888894166089168,0.05187837985269057,0.25,stable,0.2755110855168441,1,0,0,0,0.060819864283531366,-0.016414957405845643,-0.07696728679733322,-0.23894544152383124,-0.23895024504910323,-0.19387742114448203,-0.2125209571576825,-0.20951343811746392,-0.16929680147087756
2018-04-24,81.35675048828125,216987,8315.419921875,73.86000061035156,18.020000457763672,3.0,2.4869565217391303,18.292224884033203,45.2380410771245,83.52003593444825,84.33791442871093,87.0021520614624,0,0,0,-0.037414887078325965,-0.035775246379972425,-0.015652136026128693,3.6134388009991674,85.79797035715185,81.24210151174464,0.025165117879148782,97.0243911743164,80.3505630493164,-0.16148146354133042,0.012522469050369698,0.25,stable,0.27387042902389824,1,0,0,0,0.04694718326613723,-0.06259931929226592,-0.11851639488292054,-0.2005299902696952,-0.21153129502753998,-0.16073936437178016,-0.17843779971932616,-0.18239773239636325,-0.14886246106897472
2018-04-25,76.75707244873047,234706,8233.0498046875,74.0,17.84000015258789,3.0,2.489130434782609,17.989877700805664,34.545436999078376,83.1463119506836,84.17692581176757,86.9408518600464,0,0,0,-0.056537140580772416,-0.08561640598557663,-0.08873729008682474,3.4466498817493023,86.9044107802981,79.3882131210691,-0.35006273007042393,97.0243911743164,76.75707244873047,-0.20888890391667775,0.0,0.25,stable,0.2646006334581057,1,0,0,0,0.04212129552126598,-0.13085858560809072,-0.20088700021900385,-0.10112345031952541,-0.1193646449709892,-0.11809850663517252,-0.14472897835601284,-0.13914186712399723,-0.11308715219893162
2018-04-26,76.18211364746094,131925,8248.4697265625,74.73999786376953,16.239999771118164,3.0,2.491304347826087,18.09785842895508,32.14285883538828,82.72227897644044,83.99581375122071,86.87243125915528,0,0,0,-0.007490629630951262,-0.10169490915509316,-0.10016987598089167,1.9022166212710858,87.52775899712601,77.91679895575486,-0.1804903257142705,97.0243911743164,76.18211364746094,-0.2148148241343738,0.0,0.25,stable,0.2629599769651598,1,0,0,0,0.04797431589557566,-0.14814419187646732,-0.2115757693139254,-0.08867918595076663,-0.1003080001496125,-0.12493482947304158,-0.14936360313406516,-0.151919383432235,-0.11552236234652935
2018-04-29,75.75089263916016,115830,8248.4697265625,74.73999786376953,16.239999771118164,3.0,2.497826086956522,18.076261520385746,27.5229585638036,82.2910587310791,83.79170318603515,86.80185455322265,0,0,0,-0.005660397009937146,-0.10677967260532295,-0.10221480881279443,1.5861311094907002,87.94491201719862,76.63720544495959,-0.07838130571723322,97.0243911743164,75.75089263916016,-0.2192592839560906,0.0,0.25,stable,0.2656671465591711,1,0,0,0,0.04797431589557566,-0.1501891247083701,-0.22419859082715632,-0.09677412856974665,-0.10840294276859253,-0.11704571972845512,-0.1414744933894787,-0.1461223845207804,-0.10570277780632475
2018-04-30,77.61951446533203,140999,8208.8701171875,75.16999816894531,15.93000030517578,3.0,2.5,18.162647247314453,30.08851303364284,82.0035789489746,83.57609359741211,86.7406209564209,0,0,0,0.024667984245057895,-0.08163257937275581,-0.06896553933083172,1.7752828511496612,88.0008942994856,76.00626359846362,0.13449775212595408,97.0243911743164,75.75089263916016,-0.1999999842732442,0.024667984245057898,0.25,stable,0.26402649006622525,1,0,0,0,0.05465294929596931,-0.12361848862680103,-0.18880546237346985,-0.1342592132985444,-0.13853502822482866,-0.14303169580130026,-0.17222089579373412,-0.1657328741776013,-0.13327530844655322
2018-05-01,77.47577667236328,48666,8158.06005859375,75.16999816894531,15.489999771118164,3.0,2.502173913043478,17.795509338378906,32.69233419193432,81.75922088623047,83.35760925292969,86.68149909973144,0,0,0,-0.0018518254585701,-0.04770315668491443,-0.05933689809850884,0.6117815658470358,88.08418639956713,75.4342553728938,0.16138596290879206,97.0243911743164,75.75089263916016,-0.20148144466922346,0.022770477985251218,0.25,stable,0.2623858335732794,1,0,0,0,0.04593597479993816,-0.105272872898447,-0.15217525967471202,-0.12987044191944686,-0.1436482152548303,-0.15091810312356446,-0.18128809943724167,-0.1556562075174509,-0.13238844252731796
2018-05-02,76.03837585449219,63938,8098.75,73.36000061035156,15.970000267028809,3.0,2.5043478260869567,17.687524795532227,27.927978761251524,81.43580551147461,83.12475051879883,86.62297393798828,0,0,0,-0.018552906206409592,-0.009363262189530874,-0.07839737621870857,0.8022681031989465,88.24295445000281,74.62865657294641,0.10354696909647584,97.0243911743164,75.75089263916016,-0.21629628453035307,0.003795113236506127,0.25,stable,0.25311603800748683,1,0,0,0,0.02884776424554536,-0.10724514046425393,-0.15602895103766057,-0.11342184048124404,-0.13462387300941192,-0.1503162293049256,-0.1874923463754612,-0.1503162293049256,-0.10343863679450738
2018-05-03,73.30732727050781,112651,8107.47021484375,73.62000274658203,15.899999618530272,3.0,2.506521739130435,17.838703155517578,19.512219329554014,81.01896018981934,82.82577194213867,86.55433158874511,0,0,0,-0.035916713807913725,-0.03773571300812728,-0.10211261781659065,1.4171639486252752,88.73300179482125,73.30491858481743,0.00015612345730814563,97.0243911743164,73.30732727050781,-0.24444434658907505,0.0,0.25,stable,0.25147538151454096,1,0,0,0,0.019376760791874892,-0.12148937860846554,-0.16380933136041176,-0.08039256336395817,-0.10049621367343908,-0.10864608122484398,-0.14074363737649054,-0.12867665195266953,-0.07690829041736436
2018-05-06,69.71381378173828,290038,8107.47021484375,73.62000274658203,15.899999618530272,3.0,2.5130434782608697,17.86029624938965,13.286733792078508,80.4080654144287,82.47792129516601,86.47479770660401,0,0,0,-0.04901984047937369,-0.07969647151459369,-0.14912291728998162,3.173626027326811,89.60949500363898,71.20663582521843,-0.08111902770144813,97.0243911743164,69.71381378173828,-0.28148156419256753,0.0,0.25,stable,0.2541825511085518,1,0,1,0,0.019376760791874892,-0.1684996780818565,-0.20802165994696187,-0.03298988161898031,-0.053093531928461224,-0.07849715169166627,-0.11059470784331282,-0.08270972382139641,-0.0360366703783882
